,name,homepage,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,trending,image,updated_github_id,github_release_downloads,monthly_downloads
62,Auto Vaidya,https://auto-vaidya.herokuapp.com/,Auto-Vaidya/auto_vaidya,sci-tech,True,https://github.com/smaranjitghose/auto_vaidya,CC0-1.0,2020-06-05 21:20:31,2021-06-09 12:34:31,2021-06-09 12:34:28,19.0,9.0,15.0,18.0,80.0,,,,An open-source project for applying deep learning to medical scenarios.,,,9.0,8,1,,,smaranjitghose/auto_vaidya,,
63,Lottie,https://share.streamlit.io/andfanilo/streamlit-lottie-demo/master/app.py,andfanilo/streamlit-lottie,extension,True,https://github.com/andfanilo/streamlit-lottie,Apache-2.0,2020-11-15 22:58:44,2021-04-22 17:45:03,2021-04-22 17:43:17,3.0,,1.0,17.0,,,,,Streamlit component to render Lottie animations.,33.0,33.0,,10,2,,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5ff89ebd92caec4726522fd7_Streamlit-Logo-Animation-1000100.gif,,,
64,Rhyme with AI,https://github.com/godatadriven/rhyme-with-ai,godatadriven/rhyme-with-ai,nlp,True,https://github.com/godatadriven/rhyme-with-ai,MIT,2019-12-23 16:10:59,2020-06-18 13:56:29,2020-06-18 13:56:24,8.0,1.0,,17.0,15.0,,,,Rhyme with AI.,,,2.0,6,3,,https://github.com/godatadriven/rhyme-with-ai/raw/master/screenshot.gif,,,
65,Headliner Demo,https://github.com/as-ideas/headliner-demo,as-ideas/headliner-demo,nlp,True,https://github.com/as-ideas/headliner-demo,,2019-10-16 10:54:13,2019-10-18 08:37:01,2019-10-18 08:36:56,6.0,1.0,,17.0,3.0,,,,Simple translation demo showcasing our headliner package.,,,2.0,4,3,,https://github.com/as-ideas/headliner/raw/master/figures/headline_generator.png,,,
66,Embedcode,https://share.streamlit.io/randyzwitch/streamlit-embedcode/examples/streamlit_app.py,randyzwitch/streamlit-embedcode,extension,True,https://github.com/randyzwitch/streamlit-embedcode,MIT,2020-06-30 16:21:26,2021-05-17 19:02:53,2021-05-17 18:58:59,5.0,,2.0,16.0,26.0,2021-05-17 19:02:53,0.1.2,5.0,"Streamlit component for embedding code snippets such as GitHub gists, CodePen snippets, Gitlab snippets, etc.",18.0,18.0,,14,1,,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f033ac45f3ead8fc901f3ac_gh_gist_example.png,,4.0,0.0
67,Board Game Exploration,https://bgexploration.herokuapp.com/,MaartenGr/boardgame,non-ml,True,https://github.com/MaartenGr/boardgame,,2019-10-21 12:45:15,2019-11-07 06:19:08,2019-11-07 06:19:07,12.0,1.0,,15.0,23.0,,,,Heroku app to explore boardgame data.,,,3.0,6,3,,https://github.com/MaartenGr/boardgame/raw/master/images/streamlit_gif_large.gif,,,
68,3dmol,https://github.com/napoles-uach/streamlit_3dmol,napoles-uach/streamlit_3dmol,extension,True,https://github.com/napoles-uach/streamlit_3dmol,MIT,2020-07-29 19:00:23,2020-08-14 19:06:22,2020-08-14 19:06:22,1.0,,,14.0,30.0,,,,This project aims to provide an easy way to create a web app for interacting with molecular structures using Streamlit.,1.0,1.0,3.0,7,3,,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f341f27935a5c69dd31edff_stmol_image.jpg,,,
69,Sentiment Analyzer,https://github.com/patidarparas13/Sentiment-Analyzer-Tool,patidarparas13/Sentiment-Analyzer-Tool,nlp,True,https://github.com/patidarparas13/Sentiment-Analyzer-Tool,MIT,2019-10-04 03:27:28,2019-10-04 03:44:25,2019-10-04 03:44:25,8.0,,1.0,14.0,3.0,,,,"It analyze the sentiment of the user, whether it is postive or negative.",,,,7,2,,https://github.com/patidarparas13/Sentiment-Analyzer-Tool/raw/master/image.png,,,
70,Text Insights,https://github.com/robmarkcole/text-insights-app,robmarkcole/text-insights-app,cv,True,https://github.com/robmarkcole/text-insights-app,Apache-2.0,2020-05-27 02:37:50,2021-06-10 15:49:20,2021-03-30 03:29:32,7.0,2.0,1.0,12.0,25.0,2021-03-30 03:29:59,0.1,1.0,"Upload an image of a document and extract text, names, facts and figures.",,,2.0,9,2,,https://github.com/robmarkcole/text-insights-app/raw/master/assets/usage.jpg,,,
71,Marketing Campaign App,https://github.com/Ivyw1219/Marketing_Campaign_APP,Ivyw1219/Marketing_Campaign_APP,business,True,https://github.com/Ivyw1219/Marketing_Campaign_APP,,2020-04-08 13:27:31,2020-04-08 18:53:29,2020-04-08 18:53:28,5.0,,,12.0,38.0,,,,"A streamlit APP DEMO (python, plotly).",,,,6,3,,https://github.com/Ivyw1219/Marketing_Campaign_APP/raw/master/app-preview.gif,,,
72,Covid19-Scotland,https://github.com/heyad/covid19,heyad/covid19,sci-tech,True,https://github.com/heyad/covid19,,2020-04-12 23:12:34,2020-04-22 17:09:04,2020-04-22 17:07:51,2.0,,,12.0,12.0,,,,"Load, explore and analyse data from Scotland and rest of the world related to Covid19.",,,,4,3,,https://github.com/heyad/covid19/raw/master/covid19_Scotland/figures/intro.png,,,
73,Resume App,http://54.147.143.114:8501/,alphadatagamma/Streamlit-Resume-App,non-ml,True,https://github.com/alphadatagamma/Streamlit-Resume-App,,2020-06-29 02:04:12,2020-07-30 03:05:17,2020-07-30 03:04:06,7.0,,,11.0,14.0,,,,Interactive resume created on Streamlit and hosted on AWS EC2.,,,,5,3,,,,,
74,MiniClip,https://ganpaint.io/miniclip/,HendrikStrobelt/miniClip,cv,True,https://github.com/HendrikStrobelt/miniClip,,2021-03-06 16:04:44,2021-03-08 11:43:23,2021-03-08 11:43:23,,1.0,,11.0,,,,,A quick demo to explore text descriptions and saliency maps for Clip models.,,,2.0,2,3,,https://raw.githubusercontent.com/HendrikStrobelt/miniClip/main/assets/miniclip_teaser.jpg?token=AAHIFTT5T6SXWBJMICS2OM3AJ44CA,,,
75,Player,https://share.streamlit.io/okld/streamlit-player-demo/main/app.py,okld/streamlit-player,extension,True,https://github.com/okld/streamlit-player,MIT,2020-12-10 17:02:22,2021-05-24 22:44:42,2021-05-24 22:44:22,4.0,1.0,,10.0,,,,,A streamlit component to embed video and music players from various websites.,13.0,13.0,,10,2,4.0,https://raw.githubusercontent.com/okld/streamlit-player-demo/main/app.png,,,
76,Apache JMeter,https://github.com/QAInsights/Streamlit-JMeter,QAInsights/Streamlit-JMeter,non-ml,True,https://github.com/QAInsights/Streamlit-JMeter,MIT,2019-12-07 22:24:19,2021-06-17 18:48:13,2019-12-24 19:55:55,8.0,1.0,1.0,10.0,62.0,,,1.0,Powering up Apache JMeter with Streamlit and opening the door for machine learning.,,,,9,2,,https://github.com/QAInsights/Streamlit-JMeter/raw/master/images/About.png,,,
77,Arup Social Data,https://share.streamlit.io/arup-group/eviction-data/run.py,arup-group/social-data,non-ml,True,https://github.com/arup-group/social-data,MIT,2020-08-10 13:42:29,2021-05-28 20:52:51,2021-05-28 20:52:49,3.0,,1.0,9.0,157.0,,,,Code and data for eviction and housing analysis in the US.,,,6.0,10,1,,,,,
78,Squote,https://github.com/cjwallace/squote,cjwallace/squote,nlp,True,https://github.com/cjwallace/squote,MIT,2019-10-25 00:20:21,2021-06-08 20:30:56,2020-09-30 22:57:44,1.0,,1.0,9.0,22.0,,,,Semantic search for quotes.,,,2.0,7,2,,https://user-images.githubusercontent.com/6513950/67687144-bee79b80-f98f-11e9-975f-76c71207f7a0.gif,,,
79,Timeline,https://www.innerdoc.com/nlp-timeline-demo/,innerdoc/streamlit-timeline,extension,True,https://github.com/innerdoc/streamlit-timeline,MIT,2021-02-10 08:06:30,2021-02-10 09:52:31,2021-02-10 09:52:21,2.0,,,9.0,,,,,A simple Streamlit Component to display a Timeline in Streamlit apps. It integrates Knightlab's TimelineJS.,2.0,2.0,2.0,4,3,,https://github.com/innerdoc/streamlit-timeline/raw/main/example.png,,,
80,Help Me Read,https://github.com/Anku5hk/Help-Me-Read/tree/master/Streamlit-Version,Anku5hk/Help-Me-Read,nlp,True,https://github.com/Anku5hk/Help-Me-Read,MIT,2020-09-16 06:20:36,2021-05-20 12:53:54,2021-05-20 12:53:53,,,,8.0,93.0,,,,"Awesome app created with Streamlit + HuggingFace to get summary, question-answer, translate to language from given..",,,2.0,7,2,,https://github.com/Anku5hk/Help-Me-Read/raw/master/Streamlit-Version/screens/summarize.png,,,
81,Picture-lytics,https://github.com/KimaruThagna/Picture-lytics,KimaruThagna/Picture-lytics,cv,True,https://github.com/KimaruThagna/Picture-lytics,,2020-04-25 12:32:03,2021-05-21 16:25:30,2020-04-29 19:14:09,4.0,,,8.0,21.0,,,,Using Google's teachable machine to generate an image classification model and serving the model via streamlit. The..,,,2.0,6,3,,,,,
82,Face Mask Detector,https://github.com/virtualramblas/streamlit-face-mask-detector,virtualramblas/streamlit-face-mask-detector,cv,True,https://github.com/virtualramblas/streamlit-face-mask-detector,,2020-05-17 20:15:19,2021-05-21 16:28:19,2020-05-18 17:04:25,8.0,,2.0,8.0,7.0,,,,A simple Streamlit frontend for a pre-trained MobileNet CNN model + OpenCV for face mask detection in images.,,,,6,3,,https://github.com/virtualramblas/streamlit-face-mask-detector/raw/master/images/demo_image.PNG,,,
83,Gravitational Wave App,https://share.streamlit.io/jkanner/streamlit-dataview/app.py,jkanner/streamlit-dataview,sci-tech,True,https://github.com/jkanner/streamlit-dataview,,2020-07-22 21:10:35,2021-03-15 17:21:24,2021-03-15 17:21:20,9.0,2.0,2.0,8.0,42.0,,,,Streamlit viewer for GW data.,,,2.0,5,3,,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fe3b32bb3d503528eac8707_image.jpg,,,
84,HTML Table Scraper,https://github.com/CharlyWargnier/python-html-table-scraper,CharlyWargnier/python-html-table-scraper,non-ml,True,https://github.com/CharlyWargnier/python-html-table-scraper,,2020-07-10 10:43:07,2021-03-31 19:47:18,2020-07-10 13:24:02,8.0,,,8.0,13.0,,,,A simple HTML table scraper made with Python and the amazing Streamlit!.,,,,5,3,,,,,
85,TensorFlow Serving + Streamlit,https://github.com/alvarobartt/tensorflow-serving-streamlit,alvarobartt/tensorflow-serving-streamlit,ml,True,https://github.com/alvarobartt/tensorflow-serving-streamlit,MIT,2021-02-14 10:44:34,2021-02-18 15:48:05,2021-02-18 15:48:05,1.0,,,8.0,20.0,,,,TensorFlow Serving + Streamlit!.,,,,5,3,,https://raw.githubusercontent.com/alvarobartt/tensorflow-serving-streamlit/master/ui-demo.gif,,,
86,Covid Tracking,https://share.streamlit.io/panditpranav/svm_covid_tracking/main/COVID_app.py,PanditPranav/SVM_COVID_tracking,sci-tech,True,https://github.com/PanditPranav/SVM_COVID_tracking,,2020-06-14 02:48:44,2021-03-01 19:21:21,2020-11-28 21:09:38,8.0,,1.0,7.0,54.0,,,,COVID Tracking app for data in Northern California.,,,3.0,6,2,,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fb670b335879e9b9f2e71be_covid.jpg,,,
87,COVID-19 in Italy,https://covid19-dashboard-it.appspot.com/,francesconazzaro/covid19-portal,sci-tech,True,https://github.com/francesconazzaro/covid19-portal,,2020-10-28 09:22:26,2021-05-17 09:52:54,2021-04-23 08:12:41,2.0,,,6.0,251.0,,,,Analyse data for COVID-19 vaccines administrations and COVID-19 infections in Italy.,,,2.0,6,2,,https://github.com/francesconazzaro/covid19-portal/raw/master/resources/covid19-hires.gif,,,
88,Plant Disease Detection,https://bot-beats-ml-app.herokuapp.com/,AmeyaUpalanchi/streamlit-tensorflow-ml-app,cv,True,https://github.com/AmeyaUpalanchi/streamlit-tensorflow-ml-app,MIT,2020-08-18 10:10:36,2020-10-28 11:44:20,2020-10-28 11:44:19,1.0,,1.0,5.0,25.0,,,,Web App for Plant Disease Detection using Tensorflow and streamlit.,,,,7,3,,,,,
89,Deep Dream,https://github.com/streamlit/demo-deepdream,streamlit/demo-deepdream,demo,True,https://github.com/streamlit/demo-deepdream,Apache-2.0,2020-10-02 23:36:34,2020-10-02 23:37:42,2020-09-26 00:31:54,8.0,,,4.0,19.0,,,,A Streamlit demo demonstrating the Deep Dream technique. Adapted from the TensorFlow Deep Dream tutorial.,,,,7,3,,https://assets.website-files.com/5dc3b47ddc6c0c2a1af74ad0/5ede25309928736fdf811d24_5e1115355aa398cf5ffd5c4e_deep_dream_website_large.gif,,,
90,Web VR Code Generator,https://share.streamlit.io/jojo96/webvrcodegenerator/main/ar.py,jojo96/webvrcodegenerator,cv,True,https://github.com/jojo96/WebVRCodeGenerator,MIT,2021-04-20 13:50:37,2021-04-20 16:55:36,2021-04-20 16:55:36,1.0,,,4.0,,,,,A simple app that generates WebVR code for scenes made using A-Frame primitives and displays the corresponding HTML..,,,,6,3,,https://github.com/jojo96/WebVRCodeGenerator/raw/main/Images/LiveAppGIF.gif,,,
91,Disqus,https://share.streamlit.io/okld/streamlit-disqus-demo/main/app.py,okld/streamlit-disqus,extension,True,https://github.com/okld/streamlit-disqus,MIT,2020-12-10 19:10:31,2021-05-24 22:45:34,2021-05-24 22:43:55,,,,3.0,,,,,A streamlit component to embed Disqus in your applications.,10.0,10.0,,9,3,4.0,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fdbadc19b3ab50d39d611dc_app2.jpg,,,
92,Travelling Salesman,https://github.com/miclindahl/tsp-streamlit/,miclindahl/tsp-streamlit,business,True,https://github.com/miclindahl/tsp-streamlit,,2020-01-16 08:16:19,2020-01-16 08:30:54,2020-01-16 08:30:53,3.0,,,3.0,4.0,,,,Animation of solving the traveling salesman problem to optimality using mixed-integer programming and iteratively..,,,,5,3,,https://github.com/miclindahl/tsp-streamlit/raw/master/tsp_subtours.gif,,,
93,Music Generation,https://neuralpiano.herokuapp.com/,Sohaib90/Music_Gen_Streamlit,audio,True,https://github.com/Sohaib90/Music_Gen_Streamlit,,2020-03-31 11:15:35,2021-05-06 20:30:21,2020-05-03 12:46:00,,1.0,1.0,3.0,47.0,,,,Music Generation using Neural Networks Streamlit App.,,,2.0,5,3,,,,,
94,Liverpool Analyzer,https://liverpoolanalyzer.herokuapp.com/,saeeeeru/Last-Row,non-ml,True,https://github.com/saeeeeru/Last-Row,,2020-04-27 23:36:02,2020-08-18 07:00:21,2020-08-18 06:59:06,2.0,,,3.0,46.0,,,,Last row tracking data and code.,,,4.0,5,3,,,,,
95,Discourse,https://share.streamlit.io/okld/streamlit-discourse-demo/main/app.py,okld/streamlit-discourse,extension,True,https://github.com/okld/streamlit-discourse,MIT,2020-12-16 22:14:54,2021-05-24 23:31:23,2021-05-24 23:31:08,2.0,,,2.0,,,,,A streamlit component to embed Discourse topics in your applications.,5.0,5.0,,7,3,,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fdbadaf22a77e5914b03977_app3.jpg,,,
96,CLIP Playground,https://www.clipplayground.co/,JaviFuentes94/clip-playground,cv,True,https://github.com/JaviFuentes94/clip-playground,MIT,2021-02-08 07:18:49,2021-03-24 07:24:27,2021-03-24 07:24:21,1.0,1.0,,2.0,,,,,A playground to try out OpenAI's CLIP model.,,,2.0,3,3,,,,,
97,GloVe Explorer,https://github.com/dkajtoch/glove_streamlit,dkajtoch/glove_streamlit,nlp,True,https://github.com/dkajtoch/glove_streamlit,,2019-10-14 21:14:14,2019-10-14 21:19:49,2019-10-14 21:19:32,,,,2.0,2.0,,,,Demonstration project of using Streamlit with word embeddings.,,,,2,3,,https://github.com/dkajtoch/glove_streamlit/raw/master/screenshots/streamlit_glove_001.png,,,
98,Galaxy Zoo,https://share.streamlit.io/mwalmsley/galaxy-poster/gz_decals_mike_walmsley.py,mwalmsley/galaxy-poster,sci-tech,True,https://github.com/mwalmsley/galaxy-poster,,2020-06-25 09:55:46,2021-02-16 21:13:02,2021-02-16 21:12:58,2.0,,,2.0,18.0,,,,Search galaxies by morphology.,,,2.0,2,3,,https://pbs.twimg.com/media/EugE4y_XMAMls1_?format=jpg&name=4096x4096,,,
99,Brain Tumor Detector,https://share.streamlit.io/manik456/brain_tumor_classifier/main/new_brain.py,manik456/brain_tumor_classifier,sci-tech,True,https://github.com/manik456/brain_tumor_classifier,,2020-12-31 13:56:51,2021-01-06 12:50:51,2021-01-06 12:50:51,,,,1.0,,,,,Find out whether there is a tumor in the brain (or) not by uploading the MRI of it.,,,,3,3,,https://aws1.discourse-cdn.com/business7/uploads/streamlit/optimized/2X/7/7403a602674d9dcfdb0cfc21b9a3f95e7e31c410_2_1380x776.png,,,
100,Material Segmentation,https://github.com/virtualramblas/streamlit-materials-segmentation-in-vessels,virtualramblas/streamlit-materials-segmentation-in-vessels,cv,True,https://github.com/virtualramblas/streamlit-materials-segmentation-in-vessels,,2021-03-27 22:45:50,2021-04-01 23:09:35,2021-04-01 23:08:57,,,,,,,,,"Streamlit app for detecting, segmenting and classifying materials inside mostly transparent vessels in images using a..",,,,3,3,,https://github.com/virtualramblas/streamlit-materials-segmentation-in-vessels/raw/main/demo-image.PNG,,,
101,Monte Carlo for Pi,https://share.streamlit.io/mesmith027/streamlit_webapps/main/MC_pi/streamlit_app.py,mesmith027/streamlit_webapps,sci-tech,True,https://github.com/mesmith027/streamlit_webapps,,2020-10-17 16:02:26,2020-11-28 20:08:38,2020-11-23 22:29:54,1.0,,,,,,,,Using Monte Carlo to Estimate Pi.,,,2.0,2,3,,,,,
102,Interactive COVID-19,https://covid19.multivacplatform.org/,,sci-tech,True,,,,,,,,,,,,,,"Analyze the cumulative data of confirmed, deaths, and recovered cases over time.",,,,1,3,,,,,
103,Zero Shot Topic Classification,https://huggingface.co/zero-shot/,,nlp,True,,,,,,,,,,,,,,"This demo shows how Transformers can be used for zero-shot topic classification, the task of predicting a topic that..",,,,1,3,,,,,
