,name,homepage,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,image,trending,updated_github_id,github_release_downloads,monthly_downloads
60,Gravitational Wave App,https://share.streamlit.io/jkanner/streamlit-dataview/app.py,jkanner/streamlit-dataview,sci-tech,True,https://github.com/jkanner/streamlit-dataview,,2020-07-22 21:10:35,2023-03-14 19:10:30,2023-03-14 19:10:30,46.0,,9.0,38.0,,,,Streamlit viewer for GW data.,,,4.0,9,2.0,62.0,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fe3b32bb3d503528eac8707_image.jpg,,,,
61,Ask Me Anything,https://share.streamlit.io/apugoneappu/ask_me_anything/main.py,apugoneappu/ask_me_anything,cv,True,https://github.com/apugoneappu/ask_me_anything,,2020-10-16 21:28:14,2022-10-14 09:46:59,2022-10-14 09:46:59,7.0,1.0,4.0,37.0,,,,An easy-to-use app to visualise attentions of various VQA models.,,,3.0,7,2.0,115.0,https://github.com/apugoneappu/ask_me_anything/raw/master/assets/landing.png,,,,
62,Webapp Computer Vision,https://github.com/amineHY/WebApp-Computer-Vision-streamlit,amineHY/WebApp-Computer-Vision-streamlit,cv,True,https://github.com/amineHY/WebApp-Computer-Vision-streamlit,,2020-02-03 15:11:02,2022-10-08 17:08:40,2022-10-08 17:07:33,20.0,2.0,,36.0,,,,Computer Vision application in the web.,,,,6,3.0,6.0,https://github.com/amineHY/WebApp-Computer-Vision-streamlit/raw/master/media/preview_app.gif,,,,
63,"Alph, The Sacred River",https://share.streamlit.io/thoppe/alph-the-sacred-river/main,thoppe/alph-the-sacred-river,cv,True,https://github.com/thoppe/alph-the-sacred-river,,2021-01-11 23:17:37,2021-01-24 20:40:34,2021-01-24 20:40:15,9.0,1.0,,35.0,,,,Combines poems and text using CLIP from OpenAI.,,,,6,3.0,,,,,,
64,EDA on Financial Dataset,https://github.com/bukosabino/streamlit-demo-financial-eda,bukosabino/streamlit-demo-financial-eda,business,True,https://github.com/bukosabino/streamlit-demo-financial-eda,Apache-2.0,2019-10-20 18:08:53,2020-03-17 08:33:14,2020-03-17 08:33:13,13.0,,1.0,32.0,,,,Automated Exploration Data Analysis on a financial dataset.,,,,8,3.0,14.0,,,,,
65,Rhyme with AI,https://github.com/godatadriven/rhyme-with-ai,godatadriven/rhyme-with-ai,nlp,True,https://github.com/godatadriven/rhyme-with-ai,MIT,2019-12-23 16:10:59,2020-06-18 13:56:29,2020-06-18 13:56:24,9.0,1.0,,30.0,,,,Rhyme with AI.,,,2.0,7,3.0,15.0,https://github.com/godatadriven/rhyme-with-ai/raw/master/screenshot.gif,,,,
66,Image Classification App,https://github.com/smaranjitghose/img_ai_app_boilerplate,smaranjitghose/img_ai_app_boilerplate,cv,True,https://github.com/smaranjitghose/img_ai_app_boilerplate,MIT,2020-09-10 10:07:03,2021-03-28 11:52:14,2021-03-28 11:52:07,22.0,14.0,17.0,28.0,2021-01-27 14:23:07,0.0.1,1.0,An image classification app boilerplate to serve your deep learning models asap!.,,,7.0,11,1.0,94.0,,,,,
67,Whatsapp Chat Analyzer,https://whatsapp-chat-analyzer.herokuapp.com/,pcsingh/WhatsApp-Chat-Analyzer,non-ml,True,https://github.com/pcsingh/WhatsApp-Chat-Analyzer,MIT,2020-07-25 07:27:46,2022-09-27 14:44:37,2022-09-27 14:44:37,18.0,3.0,1.0,26.0,,,,WhatsApp Chat Analyzer is a WebApp and it can be used by anyone to analyze their chat.,,,4.0,9,2.0,79.0,https://github.com/pcsingh/WhatsApp-Chat-Analyzer/raw/master/assets/work.gif,,,,
68,Matplotlib Configurator,https://github.com/dhaitz/matplotlib-style-configurator,dhaitz/matplotlib-style-configurator,non-ml,True,https://github.com/dhaitz/matplotlib-style-configurator,MIT,2020-07-07 16:29:40,2020-07-08 16:17:14,2020-07-08 16:14:59,4.0,,,26.0,,,,"Matplotlib style configurator, built with Streamlit.",,,,8,3.0,17.0,,,,,
69,Covid-19 Data Explorer,https://covid19.cwerner.ai/,cwerner/covid19,sci-tech,True,https://github.com/cwerner/covid19,Apache-2.0,2020-03-07 14:09:20,2022-08-06 05:52:22,2020-11-12 13:31:29,3.0,1.0,2.0,22.0,,,,Dashboard for the COVID19 spread.,,,,9,2.0,30.0,https://github.com/cwerner/covid19/raw/master/assets/screenshot.png?raw=true,,,,
70,Sentiment Analyzer,https://github.com/patidarparas13/Sentiment-Analyzer-Tool,patidarparas13/Sentiment-Analyzer-Tool,nlp,True,https://github.com/patidarparas13/Sentiment-Analyzer-Tool,MIT,2019-10-04 03:27:28,2023-01-14 21:21:29,2019-10-04 03:44:25,14.0,,1.0,21.0,,,,"It analyze the sentiment of the user, whether it is postive or negative.",,,,8,2.0,3.0,https://github.com/patidarparas13/Sentiment-Analyzer-Tool/raw/master/image.png,,,,
71,Covid Tracking,https://share.streamlit.io/panditpranav/svm_covid_tracking/main/COVID_app.py,PanditPranav/SVM_COVID_tracking,sci-tech,True,https://github.com/PanditPranav/SVM_COVID_tracking,,2020-06-14 02:48:44,2021-08-15 07:15:01,2020-11-28 21:09:38,51.0,,1.0,20.0,,,,COVID Tracking app for data in Northern California.,,,3.0,7,3.0,54.0,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fb670b335879e9b9f2e71be_covid.jpg,,,,
72,Board Game Exploration,https://bgexploration.herokuapp.com/,MaartenGr/boardgame,non-ml,True,https://github.com/MaartenGr/boardgame,,2019-10-21 12:45:15,2022-06-21 23:10:12,2019-11-07 06:19:07,16.0,1.0,,20.0,,,,Heroku app to explore boardgame data.,,,3.0,6,3.0,23.0,https://github.com/MaartenGr/boardgame/raw/master/images/streamlit_gif_large.gif,,,,
73,Resume App,http://54.147.143.114:8501/,alphadatagamma/Streamlit-Resume-App,non-ml,True,https://github.com/alphadatagamma/Streamlit-Resume-App,,2020-06-29 02:04:12,2022-07-14 15:11:50,2020-07-30 03:04:06,9.0,1.0,,19.0,,,,Interactive resume created on Streamlit and hosted on AWS EC2.,,,,5,3.0,14.0,,,,,
74,Auto Vaidya,https://auto-vaidya.herokuapp.com/,Auto-Vaidya/auto_vaidya,sci-tech,True,https://github.com/smaranjitghose/auto_vaidya,CC0-1.0,2020-06-05 21:20:31,2023-03-24 22:10:30,2022-06-26 15:07:54,19.0,8.0,16.0,18.0,,,,An open-source project for applying deep learning to medical scenarios.,,,9.0,8,2.0,98.0,,,smaranjitghose/auto_vaidya,,
75,TensorFlow Serving + Streamlit,https://github.com/alvarobartt/tensorflow-serving-streamlit,alvarobartt/tensorflow-serving-streamlit,ml,True,https://github.com/alvarobartt/tensorflow-serving-streamlit,MIT,2021-02-14 10:44:34,2021-08-05 12:07:36,2021-08-05 12:07:36,3.0,,,18.0,,,,TensorFlow Serving + Streamlit!.,,,3.0,8,3.0,21.0,https://raw.githubusercontent.com/alvarobartt/tensorflow-serving-streamlit/master/ui-demo.gif,,,,
76,Text Insights,https://github.com/robmarkcole/text-insights-app,robmarkcole/text-insights-app,cv,True,https://github.com/robmarkcole/text-insights-app,Apache-2.0,2020-05-27 02:37:50,2022-08-06 06:03:19,2022-08-06 06:03:11,10.0,3.0,1.0,18.0,2021-03-30 03:29:59,0.1,1.0,"Upload an image of a document and extract text, names, facts and figures.",,,2.0,7,2.0,29.0,https://github.com/robmarkcole/text-insights-app/raw/master/assets/usage.jpg,,,,
77,Apache JMeter,https://github.com/QAInsights/Streamlit-JMeter,QAInsights/Streamlit-JMeter,non-ml,True,https://github.com/QAInsights/Streamlit-JMeter,MIT,2019-12-07 22:24:19,2023-04-06 20:17:14,2019-12-24 19:55:55,11.0,1.0,1.0,17.0,,,1.0,Powering up Apache JMeter with Streamlit and opening the door for machine learning.,,,,9,2.0,62.0,https://github.com/QAInsights/Streamlit-JMeter/raw/master/images/About.png,,,,
78,Marketing Campaign App,https://github.com/Ivyw1219/Marketing_Campaign_APP,Ivyw1219/Marketing_Campaign_APP,business,True,https://github.com/Ivyw1219/Marketing_Campaign_APP,,2020-04-08 13:27:31,2020-04-08 18:53:29,2020-04-08 18:53:28,7.0,,,16.0,,,,"A streamlit APP DEMO (python, plotly).",,,,6,3.0,38.0,https://github.com/Ivyw1219/Marketing_Campaign_APP/raw/master/app-preview.gif,,,,
79,Headliner Demo,https://github.com/as-ideas/headliner-demo,as-ideas/headliner-demo,nlp,True,https://github.com/as-ideas/headliner-demo,,2019-10-16 10:54:13,2019-10-18 08:37:01,2019-10-18 08:36:56,6.0,1.0,,16.0,,,,Simple translation demo showcasing our headliner package.,,,2.0,4,3.0,3.0,https://github.com/as-ideas/headliner/raw/master/figures/headline_generator.png,,,,
80,Help Me Read,https://github.com/Anku5hk/Help-Me-Read/tree/master/Streamlit-Version,Anku5hk/Help-Me-Read,nlp,True,https://github.com/Anku5hk/Help-Me-Read,MIT,2020-09-16 06:20:36,2021-10-11 12:54:13,2021-10-11 12:54:13,4.0,,,13.0,,,,"Awesome app created with Streamlit + HuggingFace to get summary, question-answer, translate to language from given..",,,2.0,7,3.0,94.0,https://github.com/Anku5hk/Help-Me-Read/raw/master/Streamlit-Version/screens/summarize.png,,,,
81,Deep Dream,https://github.com/streamlit/demo-deepdream,streamlit/demo-deepdream,demo,True,https://github.com/streamlit/demo-deepdream,Apache-2.0,2020-10-02 23:36:34,2022-07-21 00:08:48,2022-07-21 00:08:48,33.0,,1.0,12.0,,,,A Streamlit demo demonstrating the Deep Dream technique. Adapted from the TensorFlow Deep Dream tutorial.,,,4.0,9,3.0,30.0,https://assets.website-files.com/5dc3b47ddc6c0c2a1af74ad0/5ede25309928736fdf811d24_5e1115355aa398cf5ffd5c4e_deep_dream_website_large.gif,,,,
82,Squote,https://github.com/cjwallace/squote,cjwallace/squote,nlp,True,https://github.com/cjwallace/squote,MIT,2019-10-25 00:20:21,2022-12-08 06:46:23,2020-09-30 22:57:44,1.0,,1.0,12.0,,,,Semantic search for quotes.,,,2.0,6,3.0,22.0,https://user-images.githubusercontent.com/6513950/67687144-bee79b80-f98f-11e9-975f-76c71207f7a0.gif,,,,
83,HTML Table Scraper,https://github.com/CharlyWargnier/python-html-table-scraper,CharlyWargnier/python-html-table-scraper,non-ml,True,https://github.com/CharlyWargnier/python-html-table-scraper,,2020-07-10 10:43:07,2022-07-06 20:49:02,2020-07-10 13:24:02,14.0,,,12.0,,,,A simple HTML table scraper made with Python and the amazing Streamlit!.,,,,5,3.0,13.0,,,,,
84,Plant Disease Detection,https://bot-beats-ml-app.herokuapp.com/,AmeyaUpalanchi/streamlit-tensorflow-ml-app,cv,True,https://github.com/AmeyaUpalanchi/streamlit-tensorflow-ml-app,MIT,2020-08-18 10:10:36,2020-10-28 11:44:20,2020-10-28 11:44:19,12.0,1.0,1.0,11.0,,,,Web App for Plant Disease Detection using Tensorflow and streamlit.,,,,8,2.0,25.0,,,,,
85,Covid19-Scotland,https://github.com/heyad/covid19,heyad/covid19,sci-tech,True,https://github.com/heyad/covid19,,2020-04-12 23:12:34,2020-04-22 17:09:04,2020-04-22 17:07:51,3.0,,,11.0,,,,"Load, explore and analyse data from Scotland and rest of the world related to Covid19.",,,,5,3.0,12.0,https://github.com/heyad/covid19/raw/master/covid19_Scotland/figures/intro.png,,,,
86,Discourse,https://share.streamlit.io/okld/streamlit-discourse-demo/main/app.py,okld/streamlit-discourse,extension,True,https://github.com/okld/streamlit-discourse,MIT,2020-12-16 22:14:54,2021-05-24 23:31:23,2021-05-24 23:31:08,1.0,,,10.0,,,,A streamlit component to embed Discourse topics in your applications.,17.0,17.0,,8,3.0,,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fdbadaf22a77e5914b03977_app3.jpg,,,,
87,Face Mask Detector,https://github.com/virtualramblas/streamlit-face-mask-detector,virtualramblas/streamlit-face-mask-detector,cv,True,https://github.com/virtualramblas/streamlit-face-mask-detector,,2020-05-17 20:15:19,2023-03-25 00:38:26,2020-05-18 17:04:25,8.0,,2.0,10.0,,,,A simple Streamlit frontend for a pre-trained MobileNet CNN model + OpenCV for face mask detection in images.,,,,6,3.0,7.0,https://github.com/virtualramblas/streamlit-face-mask-detector/raw/master/images/demo_image.PNG,,,,
88,Disqus,https://share.streamlit.io/okld/streamlit-disqus-demo/main/app.py,okld/streamlit-disqus,extension,True,https://github.com/okld/streamlit-disqus,MIT,2020-12-10 19:10:31,2021-05-24 22:45:34,2021-05-24 22:43:55,,1.0,,9.0,,,,A streamlit component to embed Disqus in your applications.,64.0,64.0,,9,3.0,,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fdbadc19b3ab50d39d611dc_app2.jpg,,,,
89,Galaxy Zoo,https://share.streamlit.io/mwalmsley/galaxy-poster/gz_decals_mike_walmsley.py,mwalmsley/galaxy-poster,sci-tech,True,https://github.com/mwalmsley/galaxy-poster,,2020-06-25 09:55:46,2021-02-16 21:13:02,2021-02-16 21:12:58,10.0,,,9.0,,,,Search galaxies by morphology.,,,2.0,4,3.0,18.0,https://pbs.twimg.com/media/EugE4y_XMAMls1_?format=jpg&name=4096x4096,,,,
90,COVID-19 in Italy,https://covid19-dashboard-it.appspot.com/,francesconazzaro/covid19-portal,sci-tech,True,https://github.com/francesconazzaro/covid19-portal,,2020-10-28 09:22:26,2022-04-06 13:46:49,2022-04-06 13:46:49,4.0,,,8.0,,,,Analyse data for COVID-19 vaccines administrations and COVID-19 infections in Italy.,,,,7,3.0,252.0,https://github.com/francesconazzaro/covid19-portal/raw/master/resources/covid19-hires.gif,,,,
91,Picture-lytics,https://github.com/KimaruThagna/Picture-lytics,KimaruThagna/Picture-lytics,cv,True,https://github.com/KimaruThagna/Picture-lytics,,2020-04-25 12:32:03,2023-03-25 00:37:41,2020-04-29 19:14:09,4.0,,,8.0,,,,Using Google's teachable machine to generate an image classification model and serving the model via streamlit. The..,,,2.0,6,3.0,21.0,,,,,
92,Web VR Code Generator,https://share.streamlit.io/jojo96/webvrcodegenerator/main/ar.py,jojo96/webvrcodegenerator,cv,True,https://github.com/jojo96/WebVRCodeGenerator,MIT,2021-04-20 13:50:37,2021-11-25 21:58:19,2021-11-25 21:58:19,3.0,,,7.0,,,,A simple app that generates WebVR code for scenes made using A-Frame primitives and displays the corresponding HTML..,,,,7,2.0,,https://github.com/jojo96/WebVRCodeGenerator/raw/main/Images/LiveAppGIF.gif,,,,
93,Music Generation,https://neuralpiano.herokuapp.com/,Sohaib90/Music_Gen_Streamlit,audio,True,https://github.com/Sohaib90/Music_Gen_Streamlit,,2020-03-31 11:15:35,2023-01-16 11:26:52,2023-01-16 11:26:39,1.0,,2.0,7.0,,,,Music Generation using Neural Networks Streamlit App.,,,3.0,5,3.0,60.0,,,,,
94,CLIP Playground,https://www.clipplayground.co/,JaviFuentes94/clip-playground,cv,True,https://github.com/JaviFuentes94/clip-playground,MIT,2021-02-08 07:18:49,2022-08-08 20:18:00,2022-08-08 20:17:51,4.0,2.0,,6.0,,,,A playground to try out OpenAI's CLIP model.,,,2.0,6,3.0,,,,,,
95,Travelling Salesman,https://github.com/miclindahl/tsp-streamlit/,miclindahl/tsp-streamlit,business,True,https://github.com/miclindahl/tsp-streamlit,,2020-01-16 08:16:19,2020-01-16 08:30:54,2020-01-16 08:30:53,4.0,,,4.0,,,,Animation of solving the traveling salesman problem to optimality using mixed-integer programming and iteratively..,,,,5,3.0,4.0,https://github.com/miclindahl/tsp-streamlit/raw/master/tsp_subtours.gif,,,,
96,Liverpool Analyzer,https://liverpoolanalyzer.herokuapp.com/,saeeeeru/Last-Row,non-ml,True,https://github.com/saeeeeru/Last-Row,,2020-04-27 23:36:02,2020-08-18 07:00:21,2020-08-18 06:59:06,2.0,,,3.0,,,,Last row tracking data and code.,,,4.0,5,3.0,46.0,,,,,
97,Material Segmentation,https://github.com/virtualramblas/streamlit-materials-segmentation-in-vessels,virtualramblas/streamlit-materials-segmentation-in-vessels,cv,True,https://github.com/virtualramblas/streamlit-materials-segmentation-in-vessels,,2021-03-27 22:45:50,2022-02-11 16:25:33,2022-02-11 16:25:33,,,,3.0,,,,"Streamlit app for detecting, segmenting and classifying materials inside mostly transparent vessels in images using a..",,,,4,3.0,,https://github.com/virtualramblas/streamlit-materials-segmentation-in-vessels/raw/main/demo-image.PNG,,,,
98,Monte Carlo for Pi,https://share.streamlit.io/mesmith027/streamlit_webapps/main/MC_pi/streamlit_app.py,mesmith027/streamlit_webapps,sci-tech,True,https://github.com/mesmith027/streamlit_webapps,,2020-10-17 16:02:26,2022-11-28 19:30:36,2022-11-28 19:30:36,12.0,,,2.0,,,,Using Monte Carlo to Estimate Pi.,,,4.0,4,3.0,,,,,,
99,GloVe Explorer,https://github.com/dkajtoch/glove_streamlit,dkajtoch/glove_streamlit,nlp,True,https://github.com/dkajtoch/glove_streamlit,,2019-10-14 21:14:14,2019-10-14 21:19:49,2019-10-14 21:19:32,,,,2.0,,,,Demonstration project of using Streamlit with word embeddings.,,,,2,3.0,2.0,https://github.com/dkajtoch/glove_streamlit/raw/master/screenshots/streamlit_glove_001.png,,,,
100,Brain Tumor Detector,https://share.streamlit.io/manik456/brain_tumor_classifier/main/new_brain.py,manik456/brain_tumor_classifier,sci-tech,True,https://github.com/manik456/brain_tumor_classifier,,2020-12-31 13:56:51,2021-01-06 12:50:51,2021-01-06 12:50:51,1.0,,,1.0,,,,Find out whether there is a tumor in the brain (or) not by uploading the MRI of it.,,,,3,3.0,,https://aws1.discourse-cdn.com/business7/uploads/streamlit/optimized/2X/7/7403a602674d9dcfdb0cfc21b9a3f95e7e31c410_2_1380x776.png,,,,
101,Interactive COVID-19,https://covid19.multivacplatform.org/,,sci-tech,True,,,,,,,,,,,,,"Analyze the cumulative data of confirmed, deaths, and recovered cases over time.",,,,1,3.0,,,,,,
102,Zero Shot Topic Classification,https://huggingface.co/zero-shot/,,nlp,True,,,,,,,,,,,,,"This demo shows how Transformers can be used for zero-shot topic classification, the task of predicting a topic that..",,,,1,3.0,,,,,,
103,E2E ML App w/ PyTorch,https://github.com/madewithml/e2e-ml-app-pytorch,madewithml/e2e-ml-app-pytorch,ml,True,,,,,,,,,,,,,,,,,0,,,,-8.0,,,
